NewTest,Mattest,bachelor-VirtualBox(127.0.1.1)
0,33.8392748833,33.8686180115
1,33.2997810841,67.7417597771
2,33.1654570103,101.173654795
3,33.0162189007,134.602854013
4,33.2995660305,168.331062794
5,33.2739210129,202.279197931
6,33.2511060238,235.81128788
7,32.5446560383,269.084380865
8,32.9651908875,303.233902931
9,32.7554819584,336.716296911
10,33.008617878,370.638000011
11,33.740156889,405.261821985
12,33.8832371235,439.482414007
13,33.5486550331,473.519717932
14,33.9815180302,508.288527966
15,33.3379690647,542.933041811
16,34.4426398277,577.819950819
17,32.9609029293,611.094274998
18,32.5189640522,644.984536886
19,33.0424759388,678.989982843
20,33.6003029346,713.261276007
21,33.5364480019,746.943773985
22,33.252530098,781.098096848
23,33.2399199009,814.756500006
24,33.5644009113,849.461874008
25,33.0399930477,882.648810863
26,33.5339829922,917.157088995
27,33.6088440418,951.064394951
28,33.6251461506,985.288443804
29,33.6606631279,1019.31855893
30,32.9082279205,1053.19990683
31,33.0377759933,1087.39787292
32,33.0320799351,1121.47717285
33,33.5221269131,1156.05622983
34,33.3617432117,1189.99002695
35,33.3462469578,1224.01974988
36,34.1818590164,1259.08674693
37,34.2970581055,1293.9355309
38,33.1116378307,1327.24717188
39,34.3108239174,1362.42234182
40,34.136605978,1396.75602198
41,33.3852670193,1431.150527
42,33.4512639046,1464.75932193
43,32.9279658794,1498.51549482
44,32.8991730213,1532.13738799
45,33.7992818356,1566.58544993
46,34.2430150509,1600.83824396
47,33.3248479366,1634.19962382
48,33.4763720036,1668.22396588
49,34.1038210392,1702.85175991
50,33.7974698544,1736.67585897
51,34.1540720463,1771.21775484
52,33.1874871254,1804.86454487
53,34.1020948887,1839.77664399
54,33.5223140717,1873.621773
55,32.9465649128,1907.146631
56,33.2325289249,1941.43372583
57,33.4663140774,1975.56146097
58,33.9088709354,2010.16262484
59,32.7175910473,2043.15954185
60,33.5858938694,2078.05002093
61,33.4559679031,2112.27602601
62,33.3262469769,2146.23136592
63,33.5628750324,2180.67100501
64,33.4054009914,2214.52840781
65,33.4018199444,2248.43863893
66,32.9563372135,2281.89991188
67,33.1990699768,2315.92715788
68,33.606803894,2350.28280282
69,33.2657091618,2383.89213586
70,33.731593132,2418.20675278
71,33.4969520569,2452.13201284
72,32.9565958977,2485.69393492
73,33.0573148727,2519.38920593
74,33.7264521122,2553.747262
75,33.7253730297,2587.89309287
76,33.2880220413,2621.46932793
77,33.8253109455,2655.55830979
78,33.6382930279,2689.462183
79,33.6895079613,2723.42575288
80,33.1977119446,2756.99572396
81,33.1437079906,2790.56799483
82,32.7304980755,2823.85276699
83,33.5138609409,2858.45909286
84,33.4530699253,2892.06714988
85,33.5184161663,2926.06700683
86,33.4103848934,2959.80450797
87,33.1175529957,2993.27172399
88,32.9038569927,3026.62537384
89,33.6240229607,3061.1718049
