NewTest,I-O,bachelor-VirtualBox(127.0.1.1)
0,13.877710104,1314193065.4
1,7.7894949913,1314193080.88
2,8.33020401001,1314193100.48
3,20.6384088993,1314193121.02
4,21.2741179466,1314193141.67
5,17.5290720463,1314193172.7
6,20.4450562,1314193193.54
7,16.5962460041,1314193217.93
8,10.6212508678,1314193235.28
9,17.166506052,1314193254.94
10,16.2028391361,1314193274.73
11,18.7569417953,1314193292.74
12,11.4470620155,1314193317.18
13,15.4973819256,1314193343.18
14,23.9949560165,1314193367.64
15,28.718558073,1314193391.65
16,20.4850599766,1314193420.37
17,14.1113879681,1314193442.03
18,6.34348797798,1314193464.11
19,20.4303700924,1314193485.54
20,15.729612112,1314193510.48
21,23.1812460423,1314193530.6
22,17.3779580593,1314193553.79
23,24.8525822163,1314193571.2
24,15.0210030079,1314193597.31
25,19.9494900703,1314193613.65
26,9.26212382317,1314193637.55
27,7.83241891861,1314193654.46
28,19.9630141258,1314193671.2
29,17.0144472122,1314193691.18
30,19.3188810349,1314193708.21
31,15.4665119648,1314193735.51
32,21.1947209835,1314193753.97
33,14.4297180176,1314193775.7
34,20.1123390198,1314193797.35
35,11.9268629551,1314193821.81
36,8.11348509789,1314193838.45
37,6.78472304344,1314193861.5
38,20.7041268349,1314193881.78
39,16.4902219772,1314193902.54
40,16.9996318817,1314193931.21
41,20.4980099201,1314193949.6
42,17.8500988483,1314193970.74
43,8.86740612984,1314193995.12
44,24.9243328571,1314194015.78
45,19.0721530914,1314194040.74
46,27.2906239033,1314194059.82
47,15.605481863,1314194087.12
48,18.4126119614,1314194102.73
49,10.9850590229,1314194121.16
50,18.10861516,1314194139.72
51,16.2539231777,1314194161.33
52,18.7014350891,1314194181.99
53,14.7443168163,1314194202.29
54,19.1930978298,1314194227.01
55,14.2702429295,1314194253.65
56,17.4051380157,1314194271.69
57,14.1499638557,1314194293.94
58,8.98779201508,1314194314.35
59,25.3294360638,1314194334.62
60,15.6365840435,1314194359.96
61,4.19154906273,1314194385.35
62,18.2978408337,1314194401.16
