NewTest,TCP,bachelor-VirtualBox(127.0.1.1)
0,0.241274118423,1314251164.64
1,0.0993840694427,1314251164.88
2,0.107584953308,1314251164.98
3,0.0901319980621,1314251165.09
4,0.0803949832916,1314251165.18
5,0.105267047882,1314251165.26
6,0.0959188938141,1314251165.36
7,0.111129999161,1314251165.46
8,0.0840179920197,1314251165.57
9,0.102447986603,1314251165.66
10,0.0865640640259,1314251165.76
11,0.100276947021,1314251165.85
12,0.0825400352478,1314251165.95
13,0.0948309898376,1314251166.03
14,0.0940899848938,1314251166.12
15,0.0968279838562,1314251166.22
16,0.0912520885468,1314251166.31
17,0.0818819999695,1314251166.41
18,0.0942268371582,1314251166.49
19,0.0894408226013,1314251166.58
20,0.093817949295,1314251166.67
21,0.0992279052734,1314251166.77
22,0.0944130420685,1314251166.87
23,0.0985341072083,1314251166.96
24,0.0929000377655,1314251167.06
25,0.0950329303741,1314251167.15
26,0.095752954483,1314251167.25
27,0.0962500572205,1314251167.34
28,0.0903041362762,1314251167.44
29,0.099543094635,1314251167.53
30,3.12096214294,1314251167.63
31,0.136059999466,1314251170.75
32,0.0914249420166,1314251170.89
33,0.0907371044159,1314251170.98
34,0.090380191803,1314251171.07
35,0.0963199138641,1314251171.16
36,0.0871729850769,1314251171.26
37,0.0906250476837,1314251171.34
38,0.0874860286713,1314251171.44
39,0.0965909957886,1314251171.52
40,0.0936751365662,1314251171.62
41,0.0895180702209,1314251171.71
42,0.0989179611206,1314251171.8
43,0.0795469284058,1314251171.9
44,0.120689868927,1314251171.98
45,0.0874028205872,1314251172.1
46,0.0985701084137,1314251172.19
47,0.112775087357,1314251172.29
48,0.107451915741,1314251172.4
49,0.0884070396423,1314251172.51
50,0.101542949677,1314251172.6
51,0.104162931442,1314251172.7
52,0.0878100395203,1314251172.81
53,0.105437040329,1314251172.89
54,0.0870988368988,1314251173.0
55,0.0805699825287,1314251173.09
56,0.0861158370972,1314251173.17
57,0.137457847595,1314251173.25
58,0.198524951935,1314251173.39
59,0.100890159607,1314251173.59
60,0.124929904938,1314251173.69
61,0.135657072067,1314251173.82
62,0.0888469219208,1314251173.95
63,0.0926189422607,1314251174.04
64,0.0973289012909,1314251174.13
65,0.0873558521271,1314251174.23
66,0.10467004776,1314251174.32
67,0.0913741588593,1314251174.42
68,0.104697227478,1314251174.52
69,0.100680112839,1314251174.62
70,0.115258932114,1314251174.72
71,0.126310825348,1314251174.84
72,0.211578130722,1314251174.96
73,0.0933439731598,1314251175.18
74,0.0897989273071,1314251175.27
75,0.102970123291,1314251175.36
76,0.0887789726257,1314251175.46
77,0.0951509475708,1314251175.55
78,0.0947279930115,1314251175.65
79,0.091381072998,1314251175.74
80,0.0938091278076,1314251175.83
81,0.0842809677124,1314251175.93
82,0.106726169586,1314251176.01
83,0.0643751621246,1314251176.12
84,0.106396913528,1314251176.18
85,0.0883388519287,1314251176.29
86,0.0861461162567,1314251176.38
87,0.0963838100433,1314251176.47
88,6.11758899689,1314251176.56
89,0.128046035767,1314251182.68
90,0.100567102432,1314251182.81
91,0.111724853516,1314251182.91
92,0.0991840362549,1314251183.02
93,0.0951669216156,1314251183.12
94,0.0985970497131,1314251183.22
95,0.116923093796,1314251183.31
96,0.103633880615,1314251183.43
97,0.112518072128,1314251183.54
98,0.0878520011902,1314251183.65
99,0.0997388362885,1314251183.74
100,0.118768930435,1314251183.84
101,0.121158123016,1314251183.95
102,0.0983760356903,1314251184.08
103,0.0996232032776,1314251184.17
104,0.0992910861969,1314251184.27
105,0.10632610321,1314251184.37
106,0.0961060523987,1314251184.48
107,0.0835380554199,1314251184.58
108,0.10698390007,1314251184.67
109,0.09290599823,1314251184.77
110,0.0888419151306,1314251184.87
111,0.0867459774017,1314251184.95
112,0.0857579708099,1314251185.04
113,0.0802171230316,1314251185.13
114,0.0850989818573,1314251185.21
115,0.09699010849,1314251185.29
116,0.0902509689331,1314251185.39
117,0.0783860683441,1314251185.48
118,9.10799312592,1314251185.56
119,9.0706410408,1314251194.67
120,0.0927221775055,1314251203.74
121,0.0789020061493,1314251203.84
122,0.0898759365082,1314251203.92
123,0.0744249820709,1314251204.01
124,0.0850470066071,1314251204.08
125,0.0727531909943,1314251204.17
126,0.0739481449127,1314251204.24
127,0.0754160881042,1314251204.31
128,0.0761661529541,1314251204.39
129,0.0742950439453,1314251204.47
130,0.0800199508667,1314251204.54
131,0.0974650382996,1314251204.62
132,0.0843720436096,1314251204.72
133,0.07439494133,1314251204.8
134,0.0671420097351,1314251204.88
135,0.0778419971466,1314251204.94
136,0.0763020515442,1314251205.02
137,0.0761699676514,1314251205.1
138,0.0761640071869,1314251205.18
139,0.06764793396,1314251205.25
140,0.0733420848846,1314251205.32
141,0.0738210678101,1314251205.39
142,0.0774819850922,1314251205.47
143,0.0771110057831,1314251205.55
144,0.0808908939362,1314251205.62
145,0.0811669826508,1314251205.7
146,0.0767540931702,1314251205.78
147,0.0748109817505,1314251205.86
148,0.0736360549927,1314251205.94
149,0.0760018825531,1314251206.01
150,0.0745060443878,1314251206.09
151,0.0842988491058,1314251206.16
152,0.0695159435272,1314251206.25
153,0.0708839893341,1314251206.32
154,0.079726934433,1314251206.39
155,0.080146074295,1314251206.47
156,0.0794060230255,1314251206.55
157,0.0776979923248,1314251206.63
158,0.0711908340454,1314251206.7
159,3.07685184479,1314251206.78
160,21.1043360233,1314251209.85
161,15.0795068741,1314251230.96
162,0.0856671333313,1314251246.04
163,0.0831480026245,1314251246.12
164,0.0778560638428,1314251246.21
165,0.0853590965271,1314251246.28
166,0.077054977417,1314251246.37
167,0.0759749412537,1314251246.45
168,0.0754749774933,1314251246.52
169,0.0849509239197,1314251246.6
170,0.0804309844971,1314251246.68
171,0.0736379623413,1314251246.77
