NewTest,SeekAndWrite,bachelor2-VirtualBox
0,7.75483894348,1317843914.53
1,140.060281992,1317843922.35
2,1.11981201172,1317844062.49
3,31.379586935,1317844063.66
4,107.228187084,1317844095.11
5,114.215163946,1317844202.36
6,153.318943024,1317844316.67
7,42.6078641415,1317844470.08
8,135.784279823,1317844512.74
9,164.362012148,1317844648.56
10,53.8631739616,1317844812.97
11,107.658279896,1317844866.87
12,127.064384937,1317844974.58
13,152.394217014,1317845101.69
14,45.9393100739,1317845254.13
15,6.23621606827,1317845300.11
16,42.9334759712,1317845306.37
17,94.2861139774,1317845349.35
18,153.128899097,1317845443.66
19,3.59621715546,1317845596.83
20,20.377972126,1317845600.45
21,67.8786590099,1317845620.86
22,111.274708986,1317845688.84
23,4.67227196693,1317845800.2
24,102.451488018,1317845804.96
25,52.502794981,1317845907.47
26,76.4644830227,1317845960.02
27,9.80502700806,1317846036.51
28,5.25542402267,1317846046.42
29,19.5988049507,1317846051.7
30,142.786659002,1317846071.32
31,136.719989061,1317846214.14
32,100.734396935,1317846350.9
33,20.781785965,1317846451.67
34,134.18067503,1317846472.49
35,53.5582311153,1317846606.87
36,87.6962940693,1317846660.61
37,91.0256810188,1317846748.44
38,118.053251982,1317846839.89
39,40.6281170845,1317846958.02
40,2.56330800056,1317846998.75
41,88.2700099945,1317847001.4
42,19.6141459942,1317847089.75
43,11.8567650318,1317847109.39
44,56.0631120205,1317847121.27
45,2.37853002548,1317847177.4
46,28.5748929977,1317847179.9
47,52.246819973,1317847209.44
48,7.58760809898,1317847262.52
49,31.4933738708,1317847270.75
50,117.468276024,1317847302.26
51,71.0437729359,1317847419.75
52,144.813380957,1317847490.82
53,147.501882076,1317847635.65
54,130.4918859,1317847783.18
55,79.810655117,1317847913.69
56,2.23942899704,1317847993.52
57,77.4489998817,1317847995.77
58,85.2196109295,1317848073.24
59,7.63394904137,1317848158.48
60,49.5167708397,1317848166.13
61,153.494807005,1317848215.67
62,42.6501779556,1317848369.18
63,106.610687971,1317848411.86
64,36.9877429008,1317848518.51
65,69.1703109741,1317848556.59
66,53.3252749443,1317848625.78
67,0.390714883804,1317848679.13
68,43.4349079132,1317848679.59
69,129.589231014,1317848723.06
70,3.79208397865,1317848852.67
71,144.532661915,1317848856.47
72,94.6104419231,1317849001.04
73,19.9231281281,1317849095.67
74,118.229474068,1317849115.63
75,12.6249351501,1317849233.93
76,66.1931669712,1317849246.99
77,14.180357933,1317849313.22
78,34.7438690662,1317849327.42
79,124.675609112,1317849362.2
80,94.4226410389,1317849486.89
81,52.1456489563,1317849581.33
82,113.537476778,1317849633.5
83,48.0497341156,1317849747.09
84,3.84545612335,1317849795.62
85,117.021971941,1317849799.48
86,30.2192029953,1317849916.51
87,80.2092580795,1317849947.53
88,78.6001341343,1317850027.93
89,52.26653409,1317850106.57
90,108.46208787,1317850158.85
91,3.03423810005,1317850267.34
92,51.1520881653,1317850270.4
93,53.8032388687,1317850321.59
94,86.2480969429,1317850375.44
95,132.447830915,1317850461.72
96,73.4356720448,1317850594.19
97,2.36276602745,1317850667.64
98,16.6992361546,1317850670.03
99,9.26614880562,1317850686.75
EndTest
