NewTest,I-O,bachelor1-VirtualBox
0,14.4646189213,1321312229.26
1,14.1696658134,1321312248.05
2,13.1290171146,1321312262.4
3,18.1078858376,1321312275.55
4,14.0738461018,1321312294.34
5,18.8965539932,1321312308.48
6,13.6814620495,1321312327.45
7,13.7557759285,1321312341.49
8,11.8343198299,1321312355.36
9,22.9702510834,1321312368.6
10,14.817002058,1321312391.59
11,11.4050250053,1321312407.96
12,27.7851290703,1321312423.7
13,14.9763460159,1321312453.49
14,7.86216902733,1321312470.45
15,10.3215429783,1321312485.7
16,13.416975975,1321312500.45
17,16.8657100201,1321312514.41
18,14.6750218868,1321312531.38
19,14.6357998848,1321312546.07
20,13.9461431503,1321312561.55
21,15.0320360661,1321312576.56
22,13.8734738827,1321312591.59
23,13.6421120167,1321312607.62
24,15.3581929207,1321312621.26
25,9.49917793274,1321312645.41
26,16.5927000046,1321312658.51
27,15.7810277939,1321312678.43
28,13.4708230495,1321312694.34
29,14.0797610283,1321312708.89
EndTest
