NewTest,Mattest,bachelor3-VirtualBox
0,26.0606110096,1321363739.91
1,23.8195650578,1321363765.99
2,22.7463850975,1321363790.34
3,22.4228880405,1321363814.99
4,24.1724550724,1321363839.96
5,23.8033559322,1321363864.14
6,20.574447155,1321363887.96
7,23.9765632153,1321363913.7
8,19.5296480656,1321363937.68
9,22.6426939964,1321363962.77
10,23.9265971184,1321363987.45
11,24.1386389732,1321364011.39
12,23.4841771126,1321364035.54
13,16.1202170849,1321364059.37
14,16.8778178692,1321364083.39
15,22.5327367783,1321364107.44
16,24.0984930992,1321364132.45
17,24.1315710545,1321364156.56
18,24.2994220257,1321364180.71
19,23.4070880413,1321364205.02
EndTest
NewTest,I-O,bachelor3-VirtualBox
0,13.9389159679,1321364233.08
1,13.1848230362,1321364249.42
2,3.99180197716,1321364269.67
3,4.13603997231,1321364281.34
4,18.1887779236,1321364292.63
5,9.49219202995,1321364311.88
6,5.66441512108,1321364327.61
7,16.0796141624,1321364339.47
8,14.0062870979,1321364358.66
9,5.6566529274,1321364373.92
10,4.48060512543,1321364384.56
11,12.342086792,1321364397.88
12,4.99580001831,1321364411.32
13,15.846531868,1321364426.27
14,7.76058602333,1321364444.55
15,4.76495313644,1321364460.55
16,13.2578208447,1321364474.07
17,8.25584506989,1321364489.68
18,2.79052495956,1321364504.5
19,16.3540148735,1321364518.04
EndTest
NewTest,SeekAndWrite,bachelor3-VirtualBox
0,2.22604584694,1321364542.81
