NewTest,Mattest,bachelor3-VirtualBox
0,16.4802360535,1321365160.3
1,17.6650738716,1321365186.15
2,20.3123571873,1321365211.18
3,23.3498909473,1321365235.8
4,15.5513029099,1321365259.64
EndTest
NewTest,I-O,bachelor3-VirtualBox
0,11.0102028847,1321365287.63
1,5.22961211205,1321365305.15
2,3.47154378891,1321365316.5
3,12.3329629898,1321365326.98
4,11.4891359806,1321365340.65
EndTest
NewTest,SeekAndWrite,bachelor3-VirtualBox
0,2.78893399239,1321365359.95
1,0.174524068832,1321365364.08
2,0.0860798358917,1321365364.41
3,0.0443859100342,1321365364.56
4,0.325086832047,1321365364.74
EndTest
NewTest,SeekIndex,bachelor3-VirtualBox
0,0.171060800552,1321365369.21
1,0.193014144897,1321365369.52
2,0.0941519737244,1321365369.73
3,0.111932992935,1321365369.94
4,0.165675163269,1321365370.09
EndTest
NewTest,TCP,bachelor3-VirtualBox
0,15.1509490013,1321365374.3
1,18.5535709858,1321365389.45
2,12.4441509247,1321365408.01
3,3.31559991837,1321365420.45
4,3.0059030056,1321365423.77
EndTest
